Categoría;Subcategoría;Supracategoria;Producto;Descripción;Stock ;Precio ;Modo de uso;Ingredientes;Propiedades;Beneficios;Item 1;Item 2;Item 3;Item 4;Item 5;Item 6
;;;;;;;;Extracto de Manzanilla;;;;;;;;
;;;;;;;;Hidrolato de Manzanilla;;;;;;;;
;;;;;;;;Glicerina líquida;;;;;;;;
;;;;;;;;Sharomix;;;;;;;;
Cuidado facial;Hidratantes;;Serum de pestañas Love Lashes;;16;32,00 PEN;;Aceite de Ricino;;;;;;;;
;;;;;;;;Aceite de Argán;;;;;;;;
;;;;;;;;Aceite de Jojoba;;;;;;;;
;;;;;;;;Vitamina E;Antioxidante liposoluble y conservante natural ;;;;;;;
Cuidado facial;Hidratantes;;Balsamo de Labios;;16;20,00 PEN;;Manteca de Cacao;;;;;;;;
;;;;;;;;Aceite de Almendras;;;;;;;;
;;;;;;;;Vitamina E;Antioxidante liposoluble y conservante natural ;;;;;;;
;;;;;;;;Cera de Abeja;;;;;;;;
Cuidado facial;Hidratantes;;VividGloss Labial ;;16;;;Aceite de Ricino;;;;;;;;
;;;;;;;;Aceite de Almendras;;;;;;;;
;;;;;;;;Vitamina E;Antioxidante liposoluble y conservante natural ;;;;;;;
;;;;;;;;Cera de Abeja;;;;;;;;
;;;;;;;;Dioxido de Titanio;;;;;;;;
;;;;;;;;Oxido de Hierro/ Pigmento de grado cosmético ;;;;;;;;
Cuidado facial;Hidratantes;;KissMe Lips;;16;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Cuidado corporal;Pasta dental;;Pasta dental de Menta;;16;;;Arcilla Blanca;;;;;;;;
;;;;;;;;Aceite de Coco ;;;;;;;;
;;;;;;;;Betaína de Coco;;;;;;;;
;;;;;;;;Carbonato de calcio;;;;;;;;
;;;;;;;;Tensioactivo SCI;;;;;;;;
;;;;;;;;Aceite Esencial de Menta;;;;;;;;
;;;;;;;;Aceite Esencial de Árbol de Te;;;;;;;;
Cuidado corporal;Cremas;;Crema de manos aromaterapéutica;;16;;;Manteca de Karité; Cubre la piel con una capa invisible que previene la deshidratación y protege de las agresiones externas como el clima frío o el viento, además de potenciar los activos de otras sustancias. Sus propiedades antiinflamatorias ayudan a calmar la piel irritada. Favorece la regeneración de los tejidos celulares;;;;;;;
;;;;;;;;Extracto de Aloe Vera;;;;;;;;
;;;;;;;;Aceite de Almendras;;;;;;;;
;;;;;;;;Aceite de Ricino;;;;;;;;
;;;;;;;;Vitamina E;Antioxidante liposoluble y conservante natural ;;;;;;;
;;;;;;;;Cera Lanette;;;;;;;;
;;;;;;;;Agua Destilada;;;;;;;;
;;;;;;;;Uria;;;;;;;;
;;;;;;;;Sharomix;;;;;;;;
Cuidado corporal;Cremas;;Crema de cuerpo ;;16;;;Manteca de Karité; Cubre la piel con una capa invisible que previene la deshidratación y protege de las agresiones externas como el clima frío o el viento, además de potenciar los activos de otras sustancias. Sus propiedades antiinflamatorias ayudan a calmar la piel irritada. Favorece la regeneración de los tejidos celulares;;;;;;;
;;;;;;;;Manteca de Cacao;;;;;;;;
;;;;;;;;Aceite de Almendras;;;;;;;;
;;;;;;;;Aceite de Coco ;;;;;;;;
;;;;;;;;Vitamina E;Antioxidante liposoluble y conservante natural ;;;;;;;
;;;;;;;;Cera Lanette;;;;;;;;
;;;;;;;;Agua Destilada;;;;;;;;
;;;;;;;;Glicerina líquida;;;;;;;;
;;;;;;;;Uria;;;;;;;;
;;;;;;;;Sharomix;;;;;;;;
;;;;;;;;Aceite de Coco ;;;;;;;;
;;;;;;;;Aceite Esencial de Árbol de Te;;;;;;;;
;;;;;;;;Concha de Nácar en polvo;;;;;;;;
;;;;;;;;Vitamina E;Antioxidante liposoluble y conservante natural ;;;;;;;
;;;;;;;;Arcilla Blanca;;;;;;;;
;;;;;;;;Manteca de Karité; Cubre la piel con una capa invisible que previene la deshidratación y protege de las agresiones externas como el clima frío o el viento, además de potenciar los activos de otras sustancias. Sus propiedades antiinflamatorias ayudan a calmar la piel irritada. Favorece la regeneración de los tejidos celulares;;;;;;;
Cuidado corporal;;;Desodorante natural Sensitive Skin ;;;;;Recinoleato de Zinc;;;;;;;;
;;;;;;;;Fécula de Maíz ;;;;;;;;
;;;;;;;;Aceite de Coco ;;;;;;;;
;;;;;;;;Aceite Esencial de Árbol de Te;;;;;;;;
;;;;;;;;Cera de Abeja;;;;;;;;
;;;;;;;;Recinoleato de Zinc;;;;;;;;
;;;;;;;;Alcohol Cetílico;;;;;;;;
;;;;;;;;Arcilla Blanca;;;;;;;;
;;;;;;;;Aceite Esencial de Árbol de Te;;;;;;;;
;;;;;;;;Aceite de Almendras;;;;;;;;
;;;;;;;;Recinoleato de Zinc;;;;;;;;
;;;;;;;;Glicerina líquida;;;;;;;;
;;;;;;;;Agua Destilada;;;;;;;;
;;;;;;;;BTMS;;;;;;;;
;;;;;;;;Sharomix;;;;;;;;
Cuidado corporal;;;Desodorante natural de Piedra de Alumbre;;;;;Piedra de alumbre;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Cuidado corporal;;;Desodorante natural de Piedra de Alumbre;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Cuidado corporal;;;Shampoo sólido de Romero;;;;;Romero en polvo;;;;;;;;
;;;;;;;;Hidrolato de Romero;;;;;;;;
;;;;;;;;Tensioactivo SCI;;;;;;;;
;;;;;;;;Aceite de Coco ;;;;;;;;
;;;;;;;;Aceite de Almendras;;;;;;;;
;;;;;;;;Ácido Esteárico ;;;;;;;;
;;;;;;;;Almendras en polvo;;;;;;;;
;;;;;;;;Arcilla Blanca;;;;;;;;
;;;;;;;;Extracto de 7 plantas;;;;;;;;
;;;;;;;;Aceite Esencial de Romero;;;;;;;;
Cuidado corporal;;;Shampoo líquido de Romero;;;;;Hidrolato de Romero;;;;;;;;
;;;;;;;;Extracto de Ortiga;;;;;;;;
;;;;;;;;Aceite Esencial de Árbol de Te;;;;;;;;
;;;;;;;;Aceite Esencial de Romero;;;;;;;;
;;;;;;;;Tensioactivo SCI;;;;;;;;
;;;;;;;;Betaína de Coco;;;;;;;;
;;;;;;;;Agua Destilada;;;;;;;;
;;;;;;;;Decylglucosido;;;;;;;;
;;;;;;;;Glicerina líquida;;;;;;;;
Cuidado corporal;;;Acondicionador liquido de Coco;;;;;BTMS;;;;;;;;
;;;;;;;;Aceite de Almendras;;;;;;;;
;;;;;;;;Aceite de Ricino;;;;;;;;
;;;;;;;;Aceite de Coco ;;;;;;;;
;;;;;;;;Aceite Esencial de Ylang Ylang;Equilibra la producción de sebo en el cutis. Es antiséptico y fomenta la cicatrización natural. Tiene un efecto antiinflamatorio. Provee una acción tonificante.;;;;;;;
;;;;;;;;Extracto de 7 plantas;;;;;;;;
;;;;;;;;Colágeno Hidrolizado;;;;;;;;
;;;;;;;;Proteína Hidrolizada de Arroz;;;;;;;;
;;;;;;;;Agua Destilada;;;;;;;;
;;;;;;;;Glicerina líquida;;;;;;;;
;;;;;;;;Sharomix;;;;;;;;
Cuidado corporal;;;Tónico de Romero;;;;;Hidrolato de Romero;;;;;;;;
;;;;;;;;Extracto de 7 plantas;;;;;;;;
;;;;;;;;Sharomix;;;;;;;;
