Categoría;Subcategoría;Supracategoria;Producto;Descripción;Stock ;Precio ;Modo de uso;Ingredientes;Propiedades;Beneficios;Item 1;Item 2;Item 3;Item 4;Item 5;Item 6
;;;;Contenido: 100 gr;;;  2. Masajea suavemente tu cutis con movimientos circularesdurante 15 a 20 segundos.;Aceite Esencial de Lavanda;Tiene propiedades antibacterianas y antiinflamatorias, lo que combate las bacterias que fomentan el acné, y la formación de manchas asociadas a la inflamación. Además puede contribuir a atenuar la decoloración y la hiperpigmentación postinflamatoria.;;;;;;;
;;;;Producto peruano;;; 3. Retira todos los residuos de la espuma con agua tibia. ;Aceite de Rosa Mosqueta;Contiene retinoides naturales y vitamina C, ayudando a reducir la hiperpigmentación. Asimismo, los antioxidantes y la vitamina F trabajan en sinergia con la vitamina E para proteger la piel del estrés oxidativo y los radicales libres. Además fortalece la barrera lipidica de la piel para sellar la hidratación.;;;;;;;
;;;;;;; 4. Seca suavemente con una toalla de algodón.;Glicerina sólida;Hidratante, emoliente y dermocompatible;;;;;;;
;;;;;;;5. Continua con tu rutina de skincare incluida una crema hidratante para potenciar los activos del jabón.;Vitamina E;Antioxidante liposoluble y conservante natural .;;;;;;;
Cuidado facial;Limpiadores faciales;Jabones;Jabón de Aloe Vera;Barra de jabón de glicerina sólida blanca con registro sanitario y pH neutro.                      ;16;18,00 PEN;1. Humedece tus manos con agua tibia y frotalas con el jabón de glicerina hasta crear espuma.                                                                                                            ;Aloe Vera en polvo;Tiene propiedades antiinflamatorias y cicatrizantes ayudando a mejorar la apariencia de las quemaduras solares. Al concentrar los principios activos, el polvo aporta una mayor dosis de vitaminas A, C y E, que actúan como antioxidantes para proteger la piel del daño ambiental;;;;;;;
;;;;Contenido: 100 gr;;;  2. Masajea suavemente tu cutis con movimientos circularesdurante 15 a 20 segundos.;Aceite de Jojoba;Equilibra la producción del sebo natural de la piel. No es comedogenico. Tiene propiedades antibacterianas. Proporciona una hidratación duradera y rellena los espacios entre las células de la epidermis. Contiene un alto porcentaje de vitamina E y ceramidas, lo que lo convierte en un potente antioxidante.;;;;;;;
;;;;Producto peruano;;; 3. Retira todos los residuos de la espuma con agua tibia. ;Extracto de Aloe Vera;Hidrata profundamente la piel. Gracias a su contenido de vitamina (C y E), tiene propiedades antioxidantes, además de ser antibacteriano y antiinflamatorio.;;;;;;;
;;;;;;; 4. Seca suavemente con una toalla de algodón.;Glicerina sólida;Hidratante, emoliente y dermocompatible, ideal para todo tipo de piel, gracias a su pH neutro y sus propiedades hipoalergénicas.;;;;;;;
;;;;;;;5. Continua con tu rutina de skincare incluida una crema hidratante para potenciar los activos del jabón.;Vitamina E;Antioxidante liposoluble y conservante natural ;;;;;;;
Cuidado facial;Limpiadores faciales;Jabones;Jabón de cúrcuma;Barra de jabón de glicerina sólida blanca con registro sanitario y pH neutro.                      ;16;18,00 PEN;1. Humedece tus manos con agua tibia y frotalas con el jabón de glicerina hasta crear espuma.                                                                                                            ;Cúrcuma en polvo;"Es un potente antioxidante natural. Contiene curcumina, compuesto activo antiinflamatorio. Ayuda a atenuar la hiperpigmentación, las manchas oscuras y las cicatrices del acné, promoviendo un tono de piel más uniforme.
Tiene propiedades antimicrobianas que combaten el acné, ayudando a mantener la piel limpia y a prevenir futuros brotes.";;;;;;;
;;;;Contenido: 100 gr;;;  2. Masajea suavemente tu cutis con movimientos circularesdurante 15 a 20 segundos.;Aceite de Chía;Fuente de antioxidantes como la vitamina E, y polifenoles, además de ácidos grasos, vitamina B3 y zinc.  Efecto calmante y antiinflamatorio. Fortalece la barrera lipídica de la piel. Protege la piel de los radicales libres, y ayuda a equilibrar la producción de sebo en pieles grasas.;;;;;;;
;;;;Producto peruano;;; 3. Retira todos los residuos de la espuma con agua tibia. ;Miel de Abeja;Hidrata la piel, y tiene una acción antiiflamatoria. Mejora el tono y la textura de la piel, resaltando su brillo natural. La miel posee propiedades antibacterianas que ayudan a prevenir brotes de acné, al inhibir el crecimiento de bacterias que causan las espinillas.;;;;;;;
;;;;;;; 4. Seca suavemente con una toalla de algodón.;Glicerina sólida;Hidratante, emoliente y dermocompatible, ideal para todo tipo de piel, gracias a su pH neutro y sus propiedades hipoalergénicas.;;;;;;;
;;;;;;;5. Continua con tu rutina de skincare incluida una crema hidratante para potenciar los activos del jabón.;Vitamina E;Antioxidante liposoluble y conservante natural.;;;;;;;
Cuidado facial;Limpiadores faciales;Jabones;Jabón de  zanahoria y caléndula;Barra de jabón de glicerina sólida blanca con registro sanitario y pH neutro.                      ;16;18,00 PEN;1. Humedece tus manos con agua tibia y frotalas con el jabón de glicerina hasta crear espuma.                                                                                                            ;Extracto de Zanahoria;Nutre la piel con betacaroteno y vitamina A, poderosos antioxidantes que ayudan a combatir los radicales libres. Además el betacaroteno tiene propiedades antiinflamatorias y puede ayudar a atenuar el tono de la piel. Contiene flavonoides y otros componentes hidrosolubles responsables de su capacidad para reducir el enrojecimiento, la picazón y la inflamación. Proporciona una absorción rapida, segura y no grasosa, que calma, y alivia la piel.;;;;;;;
;;;;Contenido: 100 gr;;;  2. Masajea suavemente tu cutis con movimientos circularesdurante 15 a 20 segundos.;Oleato de Calendula ;La base oleosa de la caléndula hidrata profundamente la piel, ayudando a reparar la barrera protectora.;;;;;;;
